OrderID,ProductCategory,QuantityReturned,PurchaseAmount,ReasonForReturn,CustomerAccountAge,PreviousReturns,PreviousFraudReports,DeliveryType,ReturnCondition,RefundIssued,Fraud
1,Electronics,7,353.2385419,No longer needed,883,11,2,Express,Opened,483.9909861,0
2,Clothing,4,419.31839,No longer needed,277,10,0,Standard,Unopened,403.3302797,1
3,Home & Garden,8,222.2514021,Defective,881,5,2,Express,Defective,452.8745693,0
4,Clothing,4,448.3676184,No longer needed,417,2,0,Standard,Defective,210.4379518,1
5,Clothing,7,76.63386,Not as described,250,3,0,Standard,Unopened,460.6370039,0
6,Beauty & Health,4,360.168665,Wrong item,710,4,1,Express,Defective,205.4697578,1
7,Home & Garden,5,187.1355115,Did not like,640,11,1,Standard,Defective,421.6171651,1
8,Home & Garden,7,68.64103238,Did not like,249,12,1,Express,Complete,482.8623558,1
9,Home & Garden,3,205.5989873,Not as described,1331,3,2,Express,Unopened,480.8186598,0
10,Clothing,5,442.5034998,Wrong item,1472,3,1,Express,Unopened,349.4050334,1
11,Electronics,3,490.6562582,No longer needed,361,9,2,Express,Damaged,277.461976,0
12,Home & Garden,5,208.5439314,Not as described,512,12,1,Standard,Complete,183.9547177,0
13,Clothing,3,445.4798661,No longer needed,1212,0,0,Standard,Defective,68.42240468,0
14,Beauty & Health,7,264.6341198,Defective,1381,1,1,Express,Damaged,76.89228616,0
15,Electronics,1,364.1672181,Wrong item,591,1,0,Express,Complete,280.1836029,1
16,Beauty & Health,9,41.77828269,Did not like,1219,1,2,Standard,Defective,102.2151292,1
17,Electronics,9,287.5097466,Not as described,1100,9,1,Standard,Complete,111.5798934,1
18,Clothing,5,53.67772938,Did not like,136,0,1,Express,Opened,157.0857317,0
19,Books,9,148.9366194,No longer needed,580,9,0,Express,Defective,314.7190976,1
20,Electronics,6,292.0708764,No longer needed,279,13,1,Express,Complete,375.4628445,0
21,Beauty & Health,5,407.4386079,Defective,1448,7,2,Express,Complete,431.8465566,1
22,Clothing,3,289.228949,No longer needed,681,0,0,Standard,Damaged,317.4210043,0
23,Electronics,8,469.3719397,No longer needed,1078,13,2,Express,Complete,415.605138,0
24,Books,4,408.9596036,Did not like,1394,7,2,Standard,Opened,524.159495,1
25,Books,3,94.99527013,Did not like,453,0,0,Express,Opened,255.7896629,0
26,Home & Garden,6,206.7000731,Not as described,1066,13,2,Express,Complete,428.531415,1
27,Home & Garden,8,340.8730051,Not as described,463,9,1,Standard,Defective,412.1781927,1
