QuantityReturned,PurchaseAmount,CustomerAccountAge,PreviousReturns,PreviousFraudReports,ProductCategory_Beauty & Health,ProductCategory_Books,ProductCategory_Clothing,ProductCategory_Electronics,ProductCategory_Home & Garden,ReasonForReturn_Defective,ReasonForReturn_Did not like,ReasonForReturn_No longer needed,ReasonForReturn_Not as described,ReasonForReturn_Wrong item,ReturnCondition_Complete,ReturnCondition_Damaged,ReturnCondition_Defective,ReturnCondition_Opened,ReturnCondition_Unopened,DeliveryType_Express,DeliveryType_Standard
-1.161892807,1.463263474,0.221195985,0.428571429,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
-1.161892807,1.44324219,0.579374105,0.285714286,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0
0.390143001,1.380866087,1.056121533,0.714285714,0.5,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
0.390143001,0.698701975,-1.502999376,0.928571429,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0
-1.161892807,1.242671652,-1.354787741,0.071428571,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1.166160905,0.43138375,-1.500529182,0.785714286,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
1.554169857,1.015797966,-0.910152834,0.357142857,0.5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1.166160905,-0.559806665,0.725115547,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
1.554169857,0.809560842,-0.3543592,0.642857143,0.5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
0.002134049,0.042194001,-0.900272058,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
-1.549901759,0.682324038,-0.754530616,0.285714286,0.5,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
-1.549901759,-0.890615131,-1.414072395,0.142857143,0.5,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
-0.773883855,0.843874481,-1.004020203,0.571428571,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
-1.161892807,-0.882744001,1.604504585,0.785714286,0.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
1.554169857,0.888576304,0.846155049,0.785714286,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
-1.161892807,-0.25092279,-0.381531333,0.071428571,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
-0.385874903,-1.292928882,0.967194552,0.928571429,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
-0.773883855,-0.786341185,0.791810783,0.5,0.5,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
0.778151953,0.311558475,1.710722924,0.785714286,0.5,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0
0.390143001,-0.923271876,0.567023135,0.5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1.166160905,-1.12837719,-0.238260085,0.714285714,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
-1.161892807,1.377393633,-1.288092505,0.928571429,0.5,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
0.778151953,-1.507959254,-1.344906965,0.214285714,0.5,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
-1.161892807,-1.297139401,-0.650782471,0.571428571,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1.166160905,-0.573761521,-0.858278761,0,0.5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
-1.161892807,1.367892055,0.759698262,0.928571429,0.5,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
-0.773883855,-1.225856737,0.391639367,0.642857143,0.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
0.778151953,-1.069057128,-0.132041746,0.714285714,0.5,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
0.390143001,1.423976781,-0.97684807,0.785714286,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
0.002134049,-1.565475783,1.52545838,0.928571429,0.5,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
-1.161892807,1.136235507,-0.057935928,0.5,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
1.166160905,-0.68790521,-0.574206459,0.857142857,0.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0
-1.161892807,1.44192283,-0.912623028,0.785714286,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
-0.773883855,0.105478806,-0.497630448,0.285714286,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
0.390143001,1.473606963,1.024009012,0.5,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
-0.385874903,1.084430279,-0.465517927,0.357142857,0.5,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
0.390143001,-1.416028218,0.87826757,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
1.554169857,-1.374928926,0.727585741,0.928571429,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
-1.161892807,0.546393746,0.581844299,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
1.166160905,0.445914963,0.258248894,0.571428571,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
-0.385874903,0.779221461,-0.989199039,0.142857143,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0
1.554169857,0.869665092,0.82145311,0.142857143,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
